Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Night Train to the Stars,Kenji Miyazawa,"John Bester (Translator), David Mitchell (Contributor), Kaori Nagai (Contributor)",9781784877767,paperback,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
One Christmas Eve,Shari Low,"",9781804268797,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Loot: How to Steal a Fortune,Jude Watson,"",9780545468022,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Legacy,Shannon Messenger,"",9781534427334,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,"",9780345341846,paperback,to-read,2024/02/13,"","",0,"",,,,,,,,,"",,"",No
Life of Pi,Yann Martel,"",9780770430078,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Everything I Never Told You,Celeste Ng,"",9781594205712,hardcover,to-read,2024/02/19,"","",0,"",,,,,,,,,"",,"",No
A Man Called Ove,Fredrik Backman,Henning Koch (Translator),9781476738017,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Catching Fire,Suzanne Collins,"",9780439023498,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
They Both Die at the End,Adam Silvera,"",9780062457790,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Opposite of Always,Justin A. Reynolds,"",9780062748379,hardcover,to-read,2024/02/13,"","",0,"",,,,,,,,,"",,"",No
Any Sign of Life,Rae Carson,"",9780062691934,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
A Tale Dark & Grimm,Adam Gidwitz,Hugh D'Andrade (Illustrator),9780525423348,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Dragon Rider,Cornelia Funke,"",9781904442486,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Escape from Mr. Lemoncello's Library,Chris Grabenstein,"",9780307931474,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
A Court of Thorns and Roses,Sarah J. Maas,"",9781619634442,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Graceling,Kristin Cashore,"",9780152063962,hardcover,read,2024/02/10,2023/07,2023/07,1,"",,"","","","","",3.75,"","","","",No
The Dead Romantics,Ashley Poston,"",9780593336489,paperback,to-read,2024/02/20,"","",0,"",,,,,,,,,"",,"",No
Once Upon a Broken Heart,Stephanie Garber,"",9781250268396,hardcover,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
Queen Red Riding Hood's Guide to Royalty,Chris Colfer,"",9780349132235,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Iron Widow,Xiran Jay Zhao,"",9780735269934,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Wicked Saints,Emily A. Duncan,"",9781250195661,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Unraveller,Frances Hardinge,"",9781509836970,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Keeper of the Lost Cities,Shannon Messenger,"",9781442445932,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Lodestar,Shannon Messenger,"",9781481474962,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The House in the Cerulean Sea,TJ Klune,"",9781250217325,digital,currently-reading,2024/02/21,"","",0,"",,,,,,,,,"",,"",No
The Rainbow,Yasunari Kawabata,Haydn Trowell (Translator),9780241542286,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
To Kill a Kingdom,Alexandra Christo,"",9781250112682,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Golden: The Power of Silence in a World of Noise,"Justin Zorn, Leigh Marz","",9780063027602,hardcover,read,2024/02/10,2024/02/07,2024/02/07,1,"",,,,,,,,,"",,"",No
The Beautiful Ones,Silvia Moreno-Garcia,"",9781250099068,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Psychology of Money,Morgan Housel,"",,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Martian,Andy Weir,"",9780804139021,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
This Is How You Lose the Time War,"Max Gladstone, Amal El-Mohtar","",9781534431010,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Bridge Kingdom,Danielle L. Jensen,"",9781733090308,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
A World Without Princes,Soman Chainani,Iacopo Bruno (Illustrator),9780062104922,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
"The Long Way to a Small, Angry Planet",Becky Chambers,"",9781500453305,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Realm Breaker,Victoria Aveyard,"",9780062872623,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
A Little Life,Hanya Yanagihara,"",9780804172707,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
From Blood and Ash,Jennifer L. Armentrout,"",9781952457012,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Aurora Rising,"Jay Kristoff, Amie Kaufman","",9781524720964,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
With Their Eyes: September 11th: The View from a High School at Ground Zero,Annie Thoms,"",9780060517182,paperback,read,2024/02/10,2024/01,2024/01,1,"",,,,,,,,,"",,"",No
